Текст сообщения(С учетом словоформ?),Фильтр ЧПН,id фильтра который дергаем из базы
до тысячи,0_1000,
около тысячи,0_1000,
тыщу,0_1000,
полторы,1000_2000,
две тысячи,2000_3000,
две тыщи,2000_3000,
косарь,0_1000,
два косаря,2000_3000,
пару сотен,0_1000,
пятьсот,0_1000,
пятихат,0_1000,
не важно,3000,
недорого,0_1000,
бюджетно,0_1000,
средне,1000_2000,
выше сренего,2000_3000,
лакшери,3000,
дорогой,3000,
